GSVIVT01000001001								
GSVIVT01000002001	PF00999	PTHR10110	KOG1965			AT3G05030.1	ATNHX2,NHX2	sodium hydrogen exchanger 2
GSVIVT01029261001								
GSVIVT01029262001		PTHR13096						
GSVIVT01029263001	PF09753		KOG2678			AT3G55600.1		Membrane fusion protein Use1
GSVIVT01029265001	PF10533,PF03106					AT2G24570.1	ATWRKY17,WRKY17	WRKY DNA-binding protein 17
GSVIVT01029266001	PF03547					AT5G57090.1	AGR,AGR1,ATPIN2,EIR1,PIN2,WAV6	Auxin efflux carrier family protein
GSVIVT01029267001	PF03151	PTHR11132	KOG1441			AT5G55950.1		Nucleotide/sugar transporter family protein
GSVIVT01029269001	PF00107	PTHR11695	KOG1196			AT5G16990.1		Zinc-binding dehydrogenase family protein
GSVIVT01029270001	PF00107	PTHR11695	KOG1196			AT5G16990.1		Zinc-binding dehydrogenase family protein
GSVIVT01029271001	PF10219,PF04756	PTHR13160	KOG3356			AT4G29870.1		Oligosaccharyltransferase complex/magnesium transporter family protein
GSVIVT01029273001	PF00560	PTHR23155	KOG0617			AT2G19330.1	PIRL6	plant intracellular ras group-related LRR 6
GSVIVT01029274001	PF10250					AT1G51630.1		O-fucosyltransferase family protein
GSVIVT01029276001						AT1G51630.1		O-fucosyltransferase family protein
GSVIVT01029277001	PF00097	PTHR22764				AT3G10910.1		RING/U-box superfamily protein
GSVIVT01029278001	PF00560	PTHR23258	KOG0472			AT3G47570.1		Leucine-rich repeat protein kinase family protein
GSVIVT01029279001		PTHR23258				AT3G47580.1		Leucine-rich repeat protein kinase family protein
GSVIVT01029281001	PF08263,PF00560,PF00069	PTHR23258	KOG0198			AT3G47580.1		Leucine-rich repeat protein kinase family protein
GSVIVT01029282001	PF00355	PTHR21266				AT4G29890.1		choline monooxygenase, putative (CMO-like)
GSVIVT01029283001	PF00690,PF00122,PF00702,PF00689,PF12515	PTHR11939	KOG0204	3.6.3.8	K01537	AT4G29900.1	ACA10,ATACA10,CIF1	autoinhibited Ca(2+)-ATPase 10
GSVIVT01029286001	PF08513,PF05022	PTHR23216	KOG2992			AT5G57120.1		
GSVIVT01029288001	PF08079,PF00327	PTHR11524	KOG3184		K02937	AT3G13580.2		Ribosomal protein L30/L7 family protein
GSVIVT01029289001	PF08718	PTHR10219	KOG4189			AT2G34690.1	ACD11	Glycolipid transfer protein (GLTP) family protein
GSVIVT01029290001	PF00931,PF00560	PTHR23154	KOG4658			AT4G27220.1		NB-ARC domain-containing disease resistance protein
GSVIVT01029291001	PF08718	PTHR10219	KOG4189			AT2G34690.1	ACD11	Glycolipid transfer protein (GLTP) family protein
GSVIVT01029292001								
GSVIVT01029293001	PF08718	PTHR10219	KOG4189			AT2G34690.1	ACD11	Glycolipid transfer protein (GLTP) family protein
GSVIVT01029294001	PF08718	PTHR10219	KOG4189			AT2G34690.1	ACD11	Glycolipid transfer protein (GLTP) family protein
GSVIVT01029296001			KOG4189			AT2G34690.1	ACD11	Glycolipid transfer protein (GLTP) family protein
GSVIVT01029297001	PF00931,PF00560	PTHR23154	KOG4658			AT4G27190.1		NB-ARC domain-containing disease resistance protein
GSVIVT01029299001	PF00931,PF00560	PTHR23154	KOG4658			AT4G27190.1		NB-ARC domain-containing disease resistance protein
GSVIVT01029300001	PF04031	PTHR15002	KOG2425			AT5G12220.1		las1-like family protein
GSVIVT01029301001		PTHR15002				AT5G12220.1		las1-like family protein
GSVIVT01029303001	PF09758	PTHR21481	KOG2219			AT3G28430.1		
GSVIVT01029304001		PTHR11638	KOG1051			AT4G29920.1		Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein
GSVIVT01029306001	PF01532	PTHR11742	KOG2204			AT1G51590.1	MANIB,MNS1	alpha-mannosidase 1
GSVIVT01029307001	PF00149		KOG1432			AT5G57140.1	ATPAP28,PAP28	purple acid phosphatase 28
GSVIVT01029309001	PF00149		KOG1432			AT5G57140.1	ATPAP28,PAP28	purple acid phosphatase 28
GSVIVT01029310001						AT4G26020.1		
GSVIVT01029311001	PF00010	PTHR11514				AT5G57150.1		basic helix-loop-helix (bHLH) DNA-binding superfamily protein
GSVIVT01029312001	PF05634	PTHR10388				AT5G61930.1	APO3	Arabidopsis thaliana protein of unknown function (DUF794)
GSVIVT01029313001	PF10253		KOG3903			AT2G19270.1		
GSVIVT01029314001	PF01068,PF04679,PF00533,PF04675	PTHR10459	KOG0966	6.5.1.1	K10777	AT5G57160.1	ATLIG4,LIG4	DNA ligase IV
GSVIVT01029316001						AT2G14740.2	ATVSR3,BP80-2;2,VSR2;2,VSR3	vaculolar sorting receptor 3
GSVIVT01029317001								
GSVIVT01029318001	PF01187	PTHR11954	KOG1759			AT5G57170.1		Tautomerase/MIF superfamily protein
GSVIVT01029319001	PF00013	PTHR10288	KOG2190			AT4G26000.1	PEP	RNA-binding KH domain-containing protein
GSVIVT01029320001		PTHR10420:SF11				AT1G16860.1		Ubiquitin-specific protease family C19-related protein
GSVIVT01029321001								
GSVIVT01029323001	PF05623					AT1G15030.1		Protein of unknown function (DUF789)
GSVIVT01029326001						AT2G42520.1		P-loop containing nucleoside triphosphate hydrolases superfamily protein
GSVIVT01029329001	PF03169					AT1G65730.1	YSL7	YELLOW STRIPE like 7
GSVIVT01029330001								
GSVIVT01029331001	PF03169					AT1G65730.1	YSL7	YELLOW STRIPE like 7
GSVIVT01029332001								
GSVIVT01029333001						AT3G19180.1	ARC6H,ATCDP1,CDP1,PARC6	paralog of ARC6
GSVIVT01029336001	PF01535	PTHR10483				AT1G74630.1		Tetratricopeptide repeat (TPR)-like superfamily protein
GSVIVT01029337001	PF02629,PF00549	PTHR11117	KOG1255	6.2.1.4,6.2.1.5	K01899	AT5G08300.1		Succinyl-CoA ligase, alpha subunit
GSVIVT01029339001		PTHR13872				AT1G34130.1	STT3B	staurosporin and temperature sensitive 3-like b
GSVIVT01029340001								
GSVIVT01029341001	PF01476,PF00281	PTHR19375				AT5G23130.1		Peptidoglycan-binding LysM domain-containing protein
GSVIVT01029345001		PTHR22763				AT3G19950.1		RING/U-box superfamily protein
GSVIVT01029347001	PF01535	PTHR10483				AT3G02330.1		Pentatricopeptide repeat (PPR) superfamily protein
GSVIVT01029349001	PF03169					AT1G65730.1	YSL7	YELLOW STRIPE like 7
GSVIVT01029350001	PF00560	PTHR23258				AT1G58190.2	AtRLP9,RLP9	receptor like protein 9
GSVIVT01029354001								
GSVIVT01029355001	PF01412	PTHR23180				AT3G17660.1	AGD15	ARF-GAP domain 15
GSVIVT01029356001								
GSVIVT01029357001	PF05368	PTHR10366		1.3.1.-	K00224	AT1G32100.1	ATPRR1,PRR1	pinoresinol reductase 1
GSVIVT01029364001						AT3G14470.1		NB-ARC domain-containing disease resistance protein
GSVIVT01029365001	PF02298					AT2G32300.1	UCC1	uclacyanin 1
GSVIVT01029368001	PF07765					AT1G48405.1		Kinase interacting (KIP1-like) family protein
GSVIVT01029370001	PF07719,PF00515	PTHR22904	KOG4555			AT3G17670.2		tetratricopeptide repeat (TPR)-containing protein
GSVIVT01029372001	PF00722,PF06955					AT4G03210.1	XTH9	xyloglucan endotransglucosylase/hydrolase 9
GSVIVT01029373001	PF01849	PTHR10351	KOG2240		K01527	AT1G17880.1	ATBTF3,BTF3	basic transcription factor 3
GSVIVT01029374001		PTHR18838:SF8				AT1G17850.2		Rhodanese/Cell cycle control phosphatase superfamily protein
GSVIVT01029375001	PF00581	PTHR18838	KOG1530			AT1G17850.1		Rhodanese/Cell cycle control phosphatase superfamily protein
GSVIVT01029380001								
GSVIVT01029382001	PF01535	PTHR10483				AT3G49142.1		Tetratricopeptide repeat (TPR)-like superfamily protein
GSVIVT01029383001	PF08699,PF02170,PF02171	PTHR22891	KOG1041		K11596	AT1G48410.1	AGO1	Stabilizer of iron transporter SufD / Polynucleotidyl transferase
GSVIVT01029385001						AT2G14830.2		Regulator of Vps4 activity in the MVB pathway protein
GSVIVT01029388001	PF00862,PF00534	PTHR12526	KOG0853	2.4.1.13	K00695	AT1G73370.1	ATSUS6,SUS6	sucrose synthase 6
GSVIVT01029389001	PF03407	PTHR10483				AT4G19970.1		
GSVIVT01029392001	PF02365					AT3G17730.1	anac057,NAC057	NAC domain containing protein 57
GSVIVT01029393001						AT1G53345.1		
GSVIVT01029394001	PF00076	PTHR10432	KOG0114			AT1G73530.1		RNA-binding (RRM/RBD/RNP motifs) family protein
GSVIVT01029396001	PF00046,PF01852	PTHR19418	KOG0490		K09338	AT1G73360.1	ATHDG11,EDT1,HDG11	homeodomain GLABROUS 11
GSVIVT01029397001						AT2G01690.1		ARM repeat superfamily protein
GSVIVT01029402001		PTHR12818				AT4G28020.1		
GSVIVT01029404001	PF00520	PTHR10217	KOG0500		K05391	AT3G17700.1	ATCNGC20,CNBT1,CNGC20	cyclic nucleotide-binding transporter 1
GSVIVT01029406001		PTHR10742				AT1G65840.1	ATPAO4,PAO4	polyamine oxidase 4
GSVIVT01029407001	PF00520	PTHR10217	KOG0500		K05391	AT3G17700.1	ATCNGC20,CNBT1,CNGC20	cyclic nucleotide-binding transporter 1
GSVIVT01029408001								
GSVIVT01029410001	PF00226	PTHR12763	KOG0723			AT2G35795.1		Chaperone DnaJ-domain superfamily protein
GSVIVT01029411001	PF03330,PF01357					AT2G03090.1	ATEXP15,ATEXPA15,ATHEXP ALPHA 1.3,EXP15,EXPA15	expansin A15
GSVIVT01029412001		PTHR11761:SF4				AT3G13460.1	ECT2	evolutionarily conserved C-terminal region 2
GSVIVT01029413001								
GSVIVT01029415001	PF08271,PF00382	PTHR11618	KOG1597		K03124	AT3G10330.1		Cyclin-like family protein
GSVIVT01029417001								
GSVIVT01029419001								
GSVIVT01029421001		PTHR22924				AT2G16060.1	AHB1,ARATH GLB1,ATGLB1,GLB1,HB1,NSHB1	hemoglobin 1
GSVIVT01029422001		PTHR10026				AT2G26430.1	ATRCY1,RCY1	arginine-rich cyclin 1
GSVIVT01029424001								
GSVIVT01029426001		PTHR13902				AT1G49160.2	WNK7	Protein kinase superfamily protein
GSVIVT01029429001								
GSVIVT01029430001								
GSVIVT01029431001								
GSVIVT01029432001	PF00240,PF11976	PTHR15204	KOG0005			AT5G42220.1		Ubiquitin-like superfamily protein
GSVIVT01029435001						AT4G23440.1		Disease resistance protein (TIR-NBS class)
GSVIVT01029436001	PF04434					AT1G76320.1	FRS4	FAR1-related sequence 4
GSVIVT01029437001	PF00096	PTHR11389				AT3G50700.1	AtIDD2,IDD2	indeterminate(ID)-domain 2
GSVIVT01029438001	PF00270,PF00271	PTHR10967	KOG0333	3.6.4.13	K12858	AT2G33730.1		P-loop containing nucleoside triphosphate hydrolases superfamily protein
GSVIVT01029439001								
GSVIVT01029440001								
GSVIVT01029441001						AT1G79000.1	ATHAC1,ATHPCAT2,HAC1,PCAT2	histone acetyltransferase of the CBP family 1
GSVIVT01029442001	PF02135,PF00628,PF06010,PF00569,PF07649,PF08214	PTHR13808	KOG1778	2.3.1.48	K04498	AT1G79000.1	ATHAC1,ATHPCAT2,HAC1,PCAT2	histone acetyltransferase of the CBP family 1
GSVIVT01029443001	PF08547	PTHR10366	KOG1203			AT1G16720.1	HCF173	high chlorophyll fluorescence phenotype 173
GSVIVT01029444001						AT1G78995.1		
GSVIVT01029445001						AT1G16730.1	UP6	unknown protein 6
GSVIVT01029446001	PF02458					AT1G78990.1		HXXXD-type acyl-transferase family protein
GSVIVT01029447001	PF02458					AT1G32910.1		HXXXD-type acyl-transferase family protein
GSVIVT01029449001	PF04784	PTHR23054				AT3G13000.2		Protein of unknown function, DUF547
GSVIVT01029450001						AT2G32700.7	LUH	LEUNIG_homolog
GSVIVT01029451001	PF02458					AT1G32910.1		HXXXD-type acyl-transferase family protein
GSVIVT01029452001	PF04784	PTHR23054				AT3G13000.2		Protein of unknown function, DUF547
GSVIVT01029453001								
GSVIVT01029455001								
GSVIVT01029456001	PF09331					AT5G35050.1		Domain of unknown function (DUF1985)
GSVIVT01029457001								
GSVIVT01029458001	PF00249					AT3G13040.1		myb-like HTH transcriptional regulator family protein
GSVIVT01029459001	PF00083,PF07690	PTHR11600	KOG0253			AT3G13050.1		Major facilitator superfamily protein
GSVIVT01029460001	PF04146	PTHR12357	KOG1901			AT3G13060.2	ECT5	evolutionarily conserved C-terminal region 5
GSVIVT01029461001		PTHR19308	KOG2761			AT3G13062.2		Polyketide cyclase/dehydrase and lipid transport superfamily protein
GSVIVT01029462001	PF08263,PF00560,PF00069,PF07714	PTHR23258	KOG1187			AT1G78980.1	SRF5	STRUBBELIG-receptor family 5
GSVIVT01029463001						AT1G11220.1		Protein of unknown function (DUF761)
GSVIVT01029465001								
GSVIVT01029467001						AT2G07050.1	CAS1	cycloartenol synthase 1
GSVIVT01029468001	PF00432		KOG0497			AT2G07050.1	CAS1	cycloartenol synthase 1
GSVIVT01029470001						AT1G78500.1		Terpenoid cyclases family protein
GSVIVT01029472001								
GSVIVT01029473001								
GSVIVT01029474001	PF00432		KOG0497			AT1G78950.1		Terpenoid cyclases family protein
GSVIVT01029475001						AT1G78950.1		Terpenoid cyclases family protein
GSVIVT01029476001						AT1G78960.1	ATLUP2,LUP2	lupeol synthase 2
GSVIVT01029481001	PF00432					AT1G78950.1		Terpenoid cyclases family protein
GSVIVT01029482001	PF00432					AT1G78955.1	CAMS1	camelliol C synthase 1
GSVIVT01029483001								
GSVIVT01029484001								
GSVIVT01029485001						AT1G66960.1		Terpenoid cyclases family protein
GSVIVT01029486001								
GSVIVT01029487001						AT1G78950.1		Terpenoid cyclases family protein
GSVIVT01029488001	PF00432		KOG0497			AT1G78950.1		Terpenoid cyclases family protein
GSVIVT01029489001	PF00432		KOG0497			AT1G78950.1		Terpenoid cyclases family protein
GSVIVT01029490001						AT1G78970.2	ATLUP1,LUP1	lupeol synthase 1
GSVIVT01029491001	PF00432					AT1G78955.1	CAMS1	camelliol C synthase 1
GSVIVT01029494001						AT1G78955.1	CAMS1	camelliol C synthase 1
GSVIVT01029496001								
GSVIVT01029497001								
GSVIVT01029498001		PTHR13140:SF36				AT5G20490.1	ATXIK,XI-17,XIK	Myosin family protein with Dil domain
GSVIVT01029499001		PTHR13140:SF36				AT5G20490.1	ATXIK,XI-17,XIK	Myosin family protein with Dil domain
GSVIVT01029502001	PF00432					AT1G78950.1		Terpenoid cyclases family protein
GSVIVT01029503001						AT1G78950.1		Terpenoid cyclases family protein
GSVIVT01029505001								
GSVIVT01029506001								
GSVIVT01029507001						AT2G07050.1	CAS1	cycloartenol synthase 1
GSVIVT01029508001	PF00432		KOG0497			AT1G78950.1		Terpenoid cyclases family protein
GSVIVT01029509001	PF00432		KOG0497			AT1G78950.1		Terpenoid cyclases family protein
GSVIVT01029510001	PF00432		KOG0497			AT1G78955.1	CAMS1	camelliol C synthase 1
GSVIVT01029511001						AT2G07050.1	CAS1	cycloartenol synthase 1
GSVIVT01029512001								
GSVIVT01029514001	PF00432		KOG0497			AT2G07050.1	CAS1	cycloartenol synthase 1
GSVIVT01029517001						AT1G78955.1	CAMS1	camelliol C synthase 1
GSVIVT01029518001	PF00432					AT1G78960.1	ATLUP2,LUP2	lupeol synthase 2
GSVIVT01029519001								
GSVIVT01029520001						AT1G78950.1		Terpenoid cyclases family protein
GSVIVT01029521001								
GSVIVT01029522001								
GSVIVT01029523001						AT1G78950.1		Terpenoid cyclases family protein
GSVIVT01029524001	PF00432		KOG0497			AT2G07050.1	CAS1	cycloartenol synthase 1
GSVIVT01029525001	PF00432		KOG0497			AT2G07050.1	CAS1	cycloartenol synthase 1
GSVIVT01029526001						AT4G28260.2		
GSVIVT01029527001	PF00432		KOG0497			AT2G07050.1	CAS1	cycloartenol synthase 1
GSVIVT01029528001						AT4G20050.1	QRT3	Pectin lyase-like superfamily protein
GSVIVT01029529001	PF08263,PF00560	PTHR23258				AT5G35390.1		Leucine-rich repeat protein kinase family protein
GSVIVT01029530001	PF00582,PF00069,PF07714	PTHR23258	KOG1187			AT1G78940.2		Protein kinase protein with adenine nucleotide alpha hydrolases-like domain
GSVIVT01029531001								
GSVIVT01029532001						AT1G16770.1		
GSVIVT01029533001	PF02536	PTHR13068	KOG1267			AT1G78930.1		Mitochondrial transcription termination factor family protein
GSVIVT01029534001	PF05922,PF02225	PTHR10795				AT5G67090.1		Subtilisin-like serine endopeptidase family protein
GSVIVT01029537001								
GSVIVT01029539001	PF00097	PTHR23012	KOG1609			AT1G50440.1		RING/FYVE/PHD zinc finger superfamily protein
GSVIVT01029540001						AT2G03070.1	MED8	mediator subunit 8
GSVIVT01029541001						AT2G28625.1		
GSVIVT01029542001	PF01535	PTHR10483				AT1G16830.1		Pentatricopeptide repeat (PPR) superfamily protein
GSVIVT01029543001	PF01222	PTHR21257	KOG1435	1.3.1.21	K00213	AT1G50430.1	7RED,DWF5,LE,PA,ST7R	Ergosterol biosynthesis ERG4/ERG24 family
GSVIVT01029544001	PF08555	PTHR13282	KOG3410		K13120	AT1G16810.2		
GSVIVT01029545001	PF00004	PTHR23070	KOG0743			AT3G50940.1		P-loop containing nucleoside triphosphate hydrolases superfamily protein
GSVIVT01029546001	PF02874,PF00006,PF00306	PTHR15184	KOG1352	3.6.3.14	K02145	AT1G78900.1	VHA-A	vacuolar ATP synthase subunit A
GSVIVT01029547001	PF00657	PTHR22835:SF27				AT1G29670.1		GDSL-like Lipase/Acylhydrolase superfamily protein
GSVIVT01029548001	PF00657	PTHR22835:SF27				AT1G29670.1		GDSL-like Lipase/Acylhydrolase superfamily protein
GSVIVT01029549001	PF00657	PTHR22835:SF27				AT1G29670.1		GDSL-like Lipase/Acylhydrolase superfamily protein
GSVIVT01029550001						AT1G51080.1		
GSVIVT01029551001	PF00646					AT3G20270.3		lipid-binding serum glycoprotein family protein
GSVIVT01029552001	PF07891	PTHR10759				AT3G20260.1		Protein of unknown function (DUF1666)
GSVIVT01029553001	PF00806	PTHR12537	KOG1488			AT3G20250.1	APUM5,PUM5	pumilio 5
GSVIVT01029554001	PF02453	PTHR10994:SF15				AT1G78895.1		Reticulon family protein
GSVIVT01029555001	PF00153	PTHR11896	KOG0752			AT3G20240.1		Mitochondrial substrate carrier family protein
GSVIVT01029556001	PF00849	PTHR10436	KOG1919			AT1G78910.1		Pseudouridine synthase family protein
GSVIVT01029557001		PTHR10887	KOG1803			AT1G16800.1		P-loop containing nucleoside triphosphate hydrolases superfamily protein
GSVIVT01029558001	PF02519				K14488	AT2G24400.1		SAUR-like auxin-responsive protein family 
GSVIVT01029559001	PF02519				K14488	AT3G20220.1		SAUR-like auxin-responsive protein family 
GSVIVT01029561001	PF07719,PF00515	PTHR23083				AT1G78915.1		Tetratricopeptide repeat (TPR)-like superfamily protein
GSVIVT01029563001	PF03030			3.6.1.1	K01507	AT1G16780.1	AtVHP2;2,VHP2;2	Inorganic H pyrophosphatase family protein
GSVIVT01029564001	PF01650	PTHR12000	KOG1348			AT2G25940.1	ALPHA-VPE,ALPHAVPE	alpha-vacuolar processing enzyme
GSVIVT01029566001	PF02519					AT3G20220.1		SAUR-like auxin-responsive protein family 
GSVIVT01029567001	PF02519				K14488	AT2G24400.1		SAUR-like auxin-responsive protein family 
GSVIVT01029568001		PTHR11076:SF4	KOG3014	2.3.1.-	K11268	AT4G31400.1	CTF7	damaged DNA binding;DNA-directed DNA polymerases
GSVIVT01029570001	PF01344,PF07646	PTHR23244				AT1G51540.1		Galactose oxidase/kelch repeat superfamily protein
GSVIVT01029571001	PF00646,PF07646,PF01344	PTHR23244	KOG0379			AT1G51550.1		Kelch repeat-containing F-box family protein
GSVIVT01029573001	PF01243	PTHR13343	KOG3374			AT1G51560.1		Pyridoxamine 5\'-phosphate oxidase family protein
GSVIVT01029582001	PF05758					ATCG01130.1		Ycf1 protein
GSVIVT01029587001								
GSVIVT01029588001								
GSVIVT01029589001								
GSVIVT01029590001								
GSVIVT01029591001	PF00013	PTHR10288	KOG2190			AT1G51580.1		RNA-binding KH domain-containing protein
GSVIVT01029593001	PF06200,PF09425,PF06203,PF00320	PTHR22949:SF3				AT1G51600.1	GATA28,TIFY2A,ZML2	ZIM-LIKE 2
GSVIVT01029594001						AT2G01580.1		
GSVIVT01029596001		PTHR12861				AT5G14030.3		translocon-associated protein beta (TRAPB) family protein
GSVIVT01029597001						AT2G01580.1		
GSVIVT01029599001								
GSVIVT01029601001	PF01532	PTHR11742	KOG2204	3.2.1.113	K01230	AT1G51590.1	MANIB,MNS1	alpha-mannosidase 1
GSVIVT01029603001		PTHR13414				AT1G51610.1		Cation efflux family protein
GSVIVT01029605001						ATCG01280.1		Chloroplast Ycf2;ATPase, AAA type, core
GSVIVT01029607001								
GSVIVT01029609001		PTHR11742				AT1G51590.1	MANIB,MNS1	alpha-mannosidase 1
GSVIVT01029611001								
GSVIVT01029613001		PTHR13414				AT1G51610.1		Cation efflux family protein
GSVIVT01029619001	PF00560	PTHR23258				AT3G24240.1		Leucine-rich repeat receptor-like protein kinase family protein
GSVIVT01029620001								
GSVIVT01029622001		PTHR13414				AT1G51610.1		Cation efflux family protein
GSVIVT01029623001	PF01532	PTHR11742				AT1G51590.1	MANIB,MNS1	alpha-mannosidase 1
GSVIVT01029626001	PF01545	PTHR13414				AT1G51610.1		Cation efflux family protein
GSVIVT01029631001	PF08079,PF00327	PTHR11524				AT2G01250.2		Ribosomal protein L30/L7 family protein
GSVIVT01029634001	PF08079,PF00327	PTHR11524				AT2G01250.2		Ribosomal protein L30/L7 family protein
GSVIVT01029637001	PF00327	PTHR11524	KOG3184		K02937	AT3G13580.1		Ribosomal protein L30/L7 family protein
GSVIVT01029638001								
GSVIVT01029639001						AT5G10695.1		
GSVIVT01029640001	PF00560	PTHR23258				AT2G34930.1		disease resistance family protein / LRR family protein
GSVIVT01029641001		PTHR11524				AT2G44120.2		Ribosomal protein L30/L7 family protein
GSVIVT01029642001	PF08079	PTHR11524				AT3G13580.3		Ribosomal protein L30/L7 family protein
GSVIVT01029646001	PF08263,PF00560	PTHR23258	KOG0472			AT2G34930.1		disease resistance family protein / LRR family protein
GSVIVT01029647001								
GSVIVT01029648001	PF08079,PF00327	PTHR11524				AT3G13580.1		Ribosomal protein L30/L7 family protein
GSVIVT01029650001	PF00560	PTHR23258				AT2G34930.1		disease resistance family protein / LRR family protein
GSVIVT01029651001	PF08079,PF00327	PTHR11524	KOG3184			AT3G13580.2		Ribosomal protein L30/L7 family protein
GSVIVT01029653001								
GSVIVT01029655001	PF08079,PF00327	PTHR11524	KOG3184		K02937	AT3G13580.3		Ribosomal protein L30/L7 family protein
GSVIVT01029658001		PTHR11926				AT3G21750.1	UGT71B1	UDP-glucosyl transferase 71B1
GSVIVT01029659001	PF04153	PTHR23326				AT1G07705.2		NOT2 / NOT3 / NOT5 family
GSVIVT01029661001					K02706	ATCG00270.1		photosystem II reaction center protein D
GSVIVT01029662001	PF00137	PTHR10031		3.6.3.14	K02128	ATMG01080.1		mitochondrial F0-ATPase subunit 9
GSVIVT01029663001						ATMG01410.1		open reading frame 204
GSVIVT01029664001		PTHR22773:SF36				ATMG00580.1		NADH dehydrogenase subunit 4
GSVIVT01029671001		PTHR11926	KOG1192			AT3G21760.1	HYR1	UDP-Glycosyltransferase superfamily protein
GSVIVT01029677001								
GSVIVT01029680001		PTHR11926	KOG1192			AT3G21760.1	HYR1	UDP-Glycosyltransferase superfamily protein
GSVIVT01029687001						AT1G36990.1		
GSVIVT01029688001	PF03106					AT1G68150.1	ATWRKY9,WRKY9	WRKY DNA-binding protein 9
GSVIVT01029689001	PF04696	PTHR12707	KOG3756		K13114	AT1G15200.2		protein-protein interaction regulator family protein
GSVIVT01029690001						AT2G01080.1		Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
GSVIVT01029691001						AT5G53486.3		
GSVIVT01029694001	PF10075	PTHR13339	KOG4414		K12181	AT4G14110.1	COP9,CSN8,EMB143,FUS7	COP9 signalosome, subunit CSN8
GSVIVT01029696001	PF00170,PF07716	PTHR22952				AT5G44080.1		Basic-leucine zipper (bZIP) transcription factor family protein
GSVIVT01029697001	PF05057,PF12394	PTHR12482	KOG2205			AT1G58350.1	ZW18	Putative serine esterase  family protein
GSVIVT01029699001	PF05633					AT1G18740.1		Protein of unknown function (DUF793)
GSVIVT01029701001	PF00646,PF01167	PTHR16517	KOG2502			AT1G25280.1	AtTLP10,TLP10	tubby like protein 10
GSVIVT01029706001	PF01593	PTHR10742	KOG0029			AT3G09580.1		FAD/NAD(P)-binding oxidoreductase family protein
GSVIVT01029707001	PF00350	PTHR11566	KOG0446			AT3G19720.2	ARC5,DRP5B	P-loop containing nucleoside triphosphate hydrolases superfamily protein
GSVIVT01029708001	PF00139,PF07714,PF00069	PTHR23258	KOG1187			AT3G53810.1		Concanavalin A-like lectin protein kinase family protein
GSVIVT01029709001	PF02365					AT5G64530.1	ANAC104,XND1	xylem NAC domain 1
GSVIVT01029711001						ATCG00480.1		ATP synthase subunit beta
GSVIVT01029712001	PF00560	PTHR23258	KOG0472			AT5G40170.1	AtRLP54,RLP54	receptor like protein 54
GSVIVT01029713001	PF00560	PTHR23155				AT4G26090.1	RPS2	NB-ARC domain-containing disease resistance protein
GSVIVT01029716001								
GSVIVT01029718001	PF00560,PF00069,PF07714,PF11721	PTHR23258	KOG1187			AT1G56130.1		Leucine-rich repeat transmembrane protein kinase
GSVIVT01029720001	PF00560,PF00069,PF07714,PF11721	PTHR23258	KOG1187			AT1G56130.1		Leucine-rich repeat transmembrane protein kinase
GSVIVT01029721001		PTHR23258				AT1G56130.1		Leucine-rich repeat transmembrane protein kinase
GSVIVT01029722001		PTHR23258				AT1G56140.1		Leucine-rich repeat transmembrane protein kinase
GSVIVT01029723001	PF00310	PTHR11938				AT5G53460.1	GLT1	NADH-dependent glutamate synthase 1
GSVIVT01029724001	PF00560	PTHR23258				AT1G56120.1		Leucine-rich repeat transmembrane protein kinase
GSVIVT01029725001		PTHR23258				AT1G56140.1		Leucine-rich repeat transmembrane protein kinase
GSVIVT01029726001								
GSVIVT01029727001	PF00560,PF11721	PTHR23258				AT1G56120.1		Leucine-rich repeat transmembrane protein kinase
GSVIVT01029728001	PF00560	PTHR23258				AT1G56140.1		Leucine-rich repeat transmembrane protein kinase
GSVIVT01029729001		PTHR23258				AT1G56120.1		Leucine-rich repeat transmembrane protein kinase
GSVIVT01029730001		PTHR13547				AT2G32230.1	PRORP1	proteinaceous RNase P 1
GSVIVT01029731001						AT2G31490.1		
GSVIVT01029732001	PF02666	PTHR10067				AT5G57190.1	PSD2	phosphatidylserine decarboxylase 2
GSVIVT01029733001	PF00036	PTHR10891		4.1.1.65	K01613	AT5G57190.1	PSD2	phosphatidylserine decarboxylase 2
GSVIVT01029735001						AT5G57190.1	PSD2	phosphatidylserine decarboxylase 2
GSVIVT01029736001		PTHR19229				AT3G47790.1	ATATH7,ATH7	ABC2 homolog 7
GSVIVT01029737001						AT3G47780.1	ATATH6,ATH6	ABC2 homolog 6
GSVIVT01029738001	PF01535	PTHR10483				AT2G36240.1		pentatricopeptide (PPR) repeat-containing protein
GSVIVT01029740001	PF01535	PTHR10483				AT3G62470.1		Pentatricopeptide repeat (PPR) superfamily protein
GSVIVT01029741001								
GSVIVT01029743001	PF01805,PF04818	PTHR12323				AT4G31200.2		SWAP (Suppressor-of-White-APricot)/surp RNA-binding domain-containing protein
GSVIVT01029745001	PF03357	PTHR22761	KOG2910		K12195	AT5G09260.1	VPS20.2	vacuolar protein sorting-associated protein 20.2
GSVIVT01029746001	PF07651	PTHR22951				AT1G03050.1		ENTH/ANTH/VHS superfamily protein
GSVIVT01029748001	PF00141					AT4G25980.1		Peroxidase superfamily protein
GSVIVT01029749001	PF00450	PTHR11802	KOG1282			AT5G42240.1	scpl42	serine carboxypeptidase-like 42
